Date,Value,Anomaly
200001,64.1,6.4
200002,71.0,8.8
200003,74.3,4.9
200004,79.5,1.7
200005,89.2,4.5
200006,88.6,-3.0
200007,96.9,2.5
200008,97.6,3.4
200009,92.8,4.8
200010,77.4,-1.5
200011,61.3,-5.9
200012,53.2,-5.8
200101,54.3,-3.4
200102,63.5,1.3
200103,64.0,-5.4
200104,79.9,2.1
200105,86.4,1.7
200106,93.2,1.6
200107,97.4,3.0
200108,94.7,0.5
200109,86.6,-1.4
200110,79.1,0.2
200111,69.9,2.7
200112,61.3,2.3
200201,61.7,4.0
200202,60.6,-1.6
200203,69.0,-0.4
200204,80.6,2.8
200205,86.5,1.8
200206,92.4,0.8
200207,91.3,-3.1
200208,94.7,0.5
200209,88.2,0.2
200210,74.1,-4.8
200211,64.9,-2.3
200212,59.3,0.3
200301,58.6,0.9
200302,59.3,-2.9
200303,69.9,0.5
200304,80.2,2.4
200305,88.2,3.5
200306,90.0,-1.6
200307,93.6,-0.8
200308,95.2,1.0
200309,84.9,-3.1
200310,79.9,1.0
200311,69.4,2.2
200312,63.4,4.4
200401,60.0,2.3
200402,58.6,-3.6
200403,72.7,3.3
200404,75.7,-2.1
200405,85.5,0.8
200406,89.6,-2.0
200407,91.9,-2.5
200408,90.7,-3.5
200409,87.0,-1.0
200410,80.4,1.5
200411,65.6,-1.6
200412,60.4,1.4
200501,61.8,4.1
200502,61.2,-1.0
200503,69.4,0.0
200504,78.2,0.4
200505,83.5,-1.2
200506,92.9,1.3
200507,94.7,0.3
200508,93.0,-1.2
200509,93.2,5.2
200510,79.2,0.3
200511,73.4,6.2
200512,61.4,2.4
200601,68.3,10.6
200602,64.2,2.0
200603,73.5,4.1
200604,84.4,6.6
200605,89.3,4.6
200606,93.9,2.3
200607,95.4,1.0
200608,95.3,1.1
200609,86.2,-1.8
200610,79.3,0.4
200611,71.7,4.5
200612,60.2,1.2
200701,52.1,-5.6
200702,62.2,0.0
200703,73.7,4.3
200704,74.0,-3.8
200705,81.5,-3.2
200706,88.5,-3.1
200707,88.9,-5.5
200708,92.7,-1.5
200709,88.2,0.2
200710,82.7,3.8
200711,70.4,3.2
200712,62.6,3.6
200801,59.0,1.3
200802,68.4,6.2
200803,72.6,3.2
200804,79.6,1.8
200805,87.2,2.5
200806,95.5,3.9
200807,93.4,-1.0
200808,91.8,-2.4
200809,85.1,-2.9
200810,79.3,0.4
200811,70.9,3.7
200812,62.1,3.1
200901,63.1,5.4
200902,70.5,8.3
